Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.32634638421523626,1.0931148881347361,-0.5239365738681797,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.309699459367467,1.0932285218534976,-0.5243319080730179,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3071370146687293,1.6992019559372933,-0.6471510213175657,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13987366641814855,-1.326615320496936,0.08529242277298188,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15339960511836603,-2.055563623508167,0.3962868875816016,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.15714070409236794,-1.0824668551948884,0.005948762776063453,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.39576881962923105,1.22338596495503,-0.4786105983131649,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.1541085617892223,-2.2324319170235434,0.3409875927646575,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15184377155039663,-2.05566892895228,0.3962731834669154,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1346799605582007,-1.910888087787344,0.461017709096459,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.3389897463667581,1.5006466221015768,0.18418137979436863,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.1695393756905399,-1.8509742348844707,0.28278320744798424,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.30791121637598606,0.848939918797296,-0.4446137417406919,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.27621945058296443,0.5618027202026389,-0.12750518692188442,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.158285794920393,-1.0824555733730217,0.0059721272213742495,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.2484046785117556,1.8641188574497802,-0.6621928977224674,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2279155974539054,-0.9521740699164924,0.051300652916478874,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.15790282134523986,-1.0824752078088762,0.005967493341414433,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3260063020747148,1.0931129420706147,-0.5239437945300938,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3185895522002094,1.0933471310213694,-0.5241567344956711,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.08358856173263121,-1.8448107669222689,0.2872122530785325,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5597599578938244,-1.2787985623583904,-0.015487893056967494,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13696147095933275,-1.3266357482627702,0.0852313452695666,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.1551611365939903,-1.0825276497615712,0.005916650899678308,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1577071651893049,-1.0824953876826173,0.005967160894526219,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.32484411610629,1.0931598667125224,-0.5239792124514304,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.23680586400215645,-0.5290590075243772,0.09249749386161184,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.19932177408536747,-1.2488335464625124,0.10324231062781368,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.15775565775437536,-1.082459349330829,0.005961020134525658,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3263423258359683,1.093114648037192,-0.5239366165510158,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.15826807418254213,-1.0824550428065784,0.005971624257193944,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.32632662136487345,1.0931147565982158,-0.5239369897764684,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.1583544282636426,-1.082451943342537,0.00597293534824861,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.2280048637406325,-0.9521752960370242,0.05130289649803648,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.5059805727014567,-0.13396426314448415,0.0362326364910375,3,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3682914258268164,0.9267520957430259,-0.4266490899690428,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.19329162666367777,-1.8470481246925248,0.2814644254242683,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23759272279504204,-1.3304874035821161,0.07762130381435355,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.09012709900426968,-1.0847670100989195,0.0008762365326430626,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.15810094938336058,-1.0824500390188678,0.00596688078723484,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.15371084777875438,-1.0825202411398003,0.005882708685063839,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.15804033984109753,-1.082456180369086,0.005966755770084494,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3678535103999061,1.508545238009098,0.027920174324020355,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.2501981158088819,0.4551717590542314,-0.2503992220037922,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.15841137977168052,-1.0824522712439775,0.005974275640940449,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.16801530093543593,-1.6275690421680704,0.2155902781601583,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.13765581316929215,-1.0828502056656808,0.005589565936305246,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.15720765975761508,-1.0824587340250922,0.005948632845386964,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.15748491070646298,-1.0824686592954753,0.0059568276817968955,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.32440721584659615,1.0930861546843822,-0.5239742101616707,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.34391622643181674,0.9368614310631137,-0.16207607703730711,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5887685060817716,-1.095661555406767,-0.03047814229185167,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.39566359703964493,1.2233891153642036,-0.4786135848250128,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.13983506469877202,-1.326614164745,0.08529132714806703,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.15477722878484879,-1.082527308878319,0.005907990889126826,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1581273665667202,-1.0824501066855283,0.005967485558041529,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.15848182822371434,-1.0824472303385886,0.005974841496494891,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.4937132295669905,1.6227447862656899,-0.4900971595443227,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.1577418212396952,-1.0824544753456165,0.0059597332045350174,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1441663186973981,-2.0962560263564347,0.33867650187369724,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.03477597285857546,0.8137516958576089,-0.21420272528400822,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.1583632237005103,-1.0824499355979533,0.0059727296156097485,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.27125697653614017,0.8483035273670081,-0.44530644294905336,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2944060180895604,0.8059665590666338,-0.20683135084229642,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.27335520942253044,1.8491644829034597,-0.6194696980225319,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.023439280537428716,-1.0892521485021742,0.004317102799109334,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.13991261727954735,-1.3266164867023187,0.08529352830755355,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.15203339735478522,-1.0824969288466844,0.005840493887167533,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.27397693796127104,1.8491458680860489,-0.6194520516249863,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.34071659333852516,0.5480875796405692,-0.3142318422457044,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.32065498723683283,1.0929815154877693,-0.5240372020630493,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.32474981550082344,1.0930918091562158,-0.5239676767266596,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.03151858307246958,1.103829517796517,-0.5340937841145106,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.15834273179642241,-1.082457278087355,0.005973743249410309,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.15643955921259248,-1.0825659262795964,0.005952936114773322,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.157829999074827,-1.0824637695582007,0.0059635701488002174,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3637874791222739,0.9362664772890582,-0.16151207522164016,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.39603478014627164,1.2233939133120155,-0.47860623996653034,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.1270783389243852,-1.3268593024223823,0.08505499035398083,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.2528808316958672,0.04398891674204447,0.07507544620542099,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.13937690723004995,-1.3266192611230465,0.08528209568564138,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.3152658190328282,1.4912787490248687,-0.3604697948286806,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.3959465343609471,1.2233893234010356,-0.4786072945455561,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.13966387427592902,-1.3266242280072031,0.08528951376434411,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.13964704925498364,-1.3266512087114732,0.08529454709173397,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.14023694226671507,-1.326611189173,0.0852997243348941,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.22817854425362416,-0.9521674771543841,0.05130521562606804,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.30160499844063726,1.092698415691102,-0.5244067671360384,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.3250252654773737,1.093082115516395,-0.5239595686390046,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.15805944227618335,-1.0824502428285248,0.005965992744978227,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.2578524930124248,0.4375645099572826,-0.37527754259061735,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.18858669822610333,-1.2703217315383568,0.21797768842780524,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.1551659190043896,-1.0825389464291393,0.005919023006375215,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.39591101698436604,1.2233936415442308,-0.47860895523105906,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.2533477460153574,0.044047264635091586,0.07507419625592102,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.13944414236285615,-1.3266198189652858,0.08528371222570236,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.2737579705739359,1.8491524240629422,-0.619458266532821,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.317461003875822,1.0926576451715835,-0.5240437430001605,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.8500421032459196,-2.3764831040588823,0.317382771894805,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.452364901641401,-2.352023057471859,0.3885166016778613,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,-0.4452422588145027,-0.8990248173836168,0.6604730833586041,3,BurstCoin
