City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
15,Terra Santa,BR,84.36,light rain,-2.1042,-56.4869,Hotel Sarah
19,Castro,BR,73.89,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
20,Biak,ID,77.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
23,Butaritari,KI,81.3,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Edea,CM,77.45,overcast clouds,3.8,10.1333,Micotel Hotel
26,Mendoza,AR,88.21,broken clouds,-32.8908,-68.8272,Hotel Mendoza
28,Amalapuram,IN,71.78,overcast clouds,16.5833,82.0167,swayamprabha service apartments
30,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
32,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
37,Sao Benedito Do Rio Preto,BR,87.22,overcast clouds,-3.3336,-43.5283,João de Barro Hotel
38,Rikitea,PF,76.42,clear sky,-23.1203,-134.9692,People ThankYou
40,Honiara,SB,79.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
43,Avera,US,75.07,clear sky,33.194,-82.5271,
45,San Patricio,US,84.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
46,Kavieng,PG,81.57,light rain,-2.5744,150.7967,Nusa Island Retreat
47,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
50,Bilma,NE,72.79,clear sky,18.6853,12.9164,Expeditions Ténére voyages
52,Clovis,US,81.12,haze,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
56,Hithadhoo,MV,81.75,broken clouds,-0.6,73.0833,Scoop Guest House
58,Rivadavia,AR,87.76,overcast clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
59,Uribia,CO,88.81,overcast clouds,11.7139,-72.266,Hotel Uribia
63,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
64,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
75,Tevaitoa,PF,81.36,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
80,Wukari,NG,82.54,broken clouds,7.85,9.7833,Elimtop
81,Mitu,CO,76.66,overcast clouds,1.1983,-70.1733,
82,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
83,Esmeralda,CU,83.44,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
84,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
87,Mattru,SL,78.15,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
88,Aransas Pass,US,82.49,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
93,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
95,Hervey Bay,AU,77.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
96,Mahebourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Anakapalle,IN,73.35,overcast clouds,17.6833,83.0167,Satya Lodge
103,Muli,MV,81.93,broken clouds,2.9167,73.5667,Medhufushi Island Resort
106,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
112,Barabai,ID,73.62,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
114,Taoudenni,ML,71.8,overcast clouds,22.6783,-3.9836,
115,Grand-Santi,GF,75.45,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
116,Impfondo,CG,73.06,moderate rain,1.6381,18.0667,Auberge La Place de Jules
118,Abu Dhabi,AE,73.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
121,Qui Nhon,VN,71.08,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
123,Los Palacios,CU,77.4,overcast clouds,22.5872,-83.2486,
128,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
131,Manono,CD,71.06,overcast clouds,-7.3,27.4167,Hotel hewa bora
134,Maldonado,UY,70.99,clear sky,-34.6667,-54.9167,La Cimarrona
140,Kismayo,SO,80.01,light rain,-0.3582,42.5454,Agan-Hotel
142,Lai,TD,81.84,broken clouds,9.3952,16.2989,
149,Havelock,US,72.05,scattered clouds,34.8791,-76.9013,Sherwood Motel
151,Marabba,SD,85.6,clear sky,12.35,32.1833,
153,Villa Sandino,NI,76.12,overcast clouds,12.0483,-84.9936,Salón Rossmary
154,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
156,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
158,Mandera,KE,86.4,few clouds,3.9366,41.867,Mwalimu Guest mandera
159,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
166,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
167,Piacabucu,BR,81.64,broken clouds,-10.4056,-36.4344,Piaçabuçu News
172,Kanniyakumari,IN,79.29,overcast clouds,8.0833,77.5667,Sparsa
177,Linares,CL,77.31,overcast clouds,-35.85,-71.6,Hotel Real
181,Dhidhdhoo,MV,82.09,few clouds,6.8833,73.1,Dhidhoo beach
186,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
192,Atar,MR,71.11,overcast clouds,20.5169,-13.0499,Oumou Elghoura
196,San Antonio,US,80.1,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
199,Canavieiras,BR,79.23,heavy intensity rain,-15.675,-38.9472,Bahiadomizil
201,Alyangula,AU,84.33,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
205,Kirakira,SB,80.42,clear sky,-10.4544,161.9205,SanBiz Lodge
206,Niquero,CU,84.63,clear sky,20.0431,-77.5828,Islazul Niquero
208,Thinadhoo,MV,81.41,overcast clouds,0.5333,72.9333,
212,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
213,Sao Filipe,CV,75.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
216,Dibulla,CO,88.0,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
218,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
219,Manzanillo,CU,87.48,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
