City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,75.16,79,93,9.95,overcast clouds
1,Barrow,US,71.2906,-156.7887,-11.18,77,90,5.75,overcast clouds
2,Iqaluit,CA,63.7506,-68.5145,16.25,75,97,7.47,overcast clouds
3,Saskylakh,RU,71.9167,114.0833,-44.19,100,66,3.49,broken clouds
4,Carnarvon,AU,-24.8667,113.6333,68.07,83,40,20.71,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,51.46,58,75,17.27,broken clouds
6,Carballo,ES,43.213,-8.691,49.51,86,55,6.71,broken clouds
7,Provideniya,RU,64.3833,-173.3,8.28,92,100,8.63,overcast clouds
8,Yellowknife,CA,62.456,-114.3525,0.41,97,100,7.78,overcast clouds
9,Hilo,US,19.7297,-155.09,83.28,75,20,5.75,few clouds
10,Mataura,NZ,-46.1927,168.8643,58.48,88,100,1.12,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,8.11,68,97,6.87,overcast clouds
12,Saint-Pierre,RE,-21.3393,55.4781,76.68,87,90,18.41,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,21.85,broken clouds
14,Bredasdorp,ZA,-34.5322,20.0403,55.27,76,1,6.15,clear sky
15,Terra Santa,BR,-2.1042,-56.4869,84.36,73,55,1.48,light rain
16,Wanaka,NZ,-44.7,169.15,61.11,87,98,1.99,overcast clouds
17,Kharp,RU,66.8014,65.8081,3.88,98,100,2.39,light snow
18,Hobart,AU,-42.8794,147.3294,55.02,77,20,1.01,few clouds
19,Castro,BR,-24.7911,-50.0119,73.89,64,23,8.25,moderate rain
20,Biak,ID,-0.9131,122.8766,77.65,75,100,2.01,overcast clouds
21,Dunedin,NZ,-45.8742,170.5036,58.41,92,83,9.4,broken clouds
22,Lagoa,PT,39.05,-27.9833,64.29,80,97,9.86,overcast clouds
23,Butaritari,KI,3.0707,172.7902,81.3,75,85,13.82,overcast clouds
24,Edea,CM,3.8,10.1333,77.45,91,100,2.66,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,63.0,88,20,5.75,few clouds
26,Mendoza,AR,-32.8908,-68.8272,88.21,25,58,7.72,broken clouds
27,Norman Wells,CA,65.282,-126.8329,-13.72,94,100,11.86,overcast clouds
28,Amalapuram,IN,16.5833,82.0167,71.78,83,100,4.81,overcast clouds
29,Oyama,JP,36.3,139.8,46.58,58,71,3.2,broken clouds
30,Avarua,CK,-21.2078,-159.775,78.85,83,75,13.8,light rain
31,Tezu,IN,27.9167,96.1667,63.82,57,91,3.89,overcast clouds
32,Atuona,PF,-9.8,-139.0333,78.31,78,89,21.36,light rain
33,East London,ZA,-33.0153,27.9116,65.32,73,100,19.77,overcast clouds
